"freq
References : ['real(S(1,1))','imag(S(1,1))','real(SP1.SP.S(1,2))','imag(SP1.SP.S(1,2))','real(SP1.SP.S(2,1))','imag(SP1.SP.S(2,1))','real(SP1.SP.S(2,2))','imag(SP1.SP.S(2,2))']
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real"
6.500E8Hz,-9.312E-1,1.154E-1,1.924E-2,1.559E-3,-3.337E0,3.407E0,-6.876E-1,1.142E-1
6.600E8Hz,-9.283E-1,1.165E-1,1.898E-2,2.179E-3,-3.268E0,3.421E0,-6.876E-1,1.079E-1
6.700E8Hz,-9.255E-1,1.247E-1,1.959E-2,6.123E-4,-3.208E0,3.444E0,-6.864E-1,1.168E-1
6.800E8Hz,-9.190E-1,1.228E-1,1.864E-2,1.557E-3,-3.157E0,3.431E0,-6.787E-1,1.146E-1
6.900E8Hz,-9.266E-1,1.305E-1,1.926E-2,1.179E-3,-3.131E0,3.460E0,-6.870E-1,1.145E-1
7.000E8Hz,-9.266E-1,1.331E-1,1.917E-2,1.112E-3,-3.041E0,3.491E0,-6.790E-1,1.174E-1
7.100E8Hz,-9.275E-1,1.393E-1,1.898E-2,9.098E-4,-3.021E0,3.514E0,-6.871E-1,1.224E-1
7.200E8Hz,-9.260E-1,1.360E-1,1.886E-2,1.150E-3,-2.960E0,3.527E0,-6.799E-1,1.245E-1
7.300E8Hz,-9.308E-1,1.497E-1,1.928E-2,8.749E-4,-2.923E0,3.573E0,-6.863E-1,1.273E-1
7.400E8Hz,-9.222E-1,1.491E-1,1.899E-2,5.656E-4,-2.864E0,3.546E0,-6.831E-1,1.286E-1
7.500E8Hz,-9.240E-1,1.615E-1,1.939E-2,7.288E-4,-2.814E0,3.576E0,-6.870E-1,1.286E-1
7.600E8Hz,-9.201E-1,1.623E-1,1.940E-2,2.253E-4,-2.750E0,3.594E0,-6.853E-1,1.304E-1
7.700E8Hz,-9.250E-1,1.689E-1,1.880E-2,3.415E-4,-2.696E0,3.610E0,-6.829E-1,1.314E-1
7.800E8Hz,-9.220E-1,1.653E-1,1.938E-2,7.732E-4,-2.645E0,3.593E0,-6.833E-1,1.340E-1
7.900E8Hz,-9.208E-1,1.788E-1,1.900E-2,2.570E-5,-2.613E0,3.616E0,-6.838E-1,1.319E-1
8.000E8Hz,-9.209E-1,1.729E-1,1.950E-2,9.261E-5,-2.563E0,3.624E0,-6.809E-1,1.352E-1
8.100E8Hz,-9.170E-1,1.854E-1,1.900E-2,-1.019E-4,-2.508E0,3.650E0,-6.824E-1,1.363E-1
8.200E8Hz,-9.239E-1,1.766E-1,1.930E-2,-1.022E-4,-2.480E0,3.650E0,-6.834E-1,1.393E-1
8.300E8Hz,-9.153E-1,1.904E-1,1.940E-2,2.289E-5,-2.429E0,3.661E0,-6.838E-1,1.378E-1
8.400E8Hz,-9.148E-1,1.912E-1,1.920E-2,-2.769E-4,-2.375E0,3.654E0,-6.824E-1,1.366E-1
8.500E8Hz,-9.157E-1,1.950E-1,1.930E-2,-4.262E-4,-2.317E0,3.668E0,-6.799E-1,1.401E-1
8.600E8Hz,-9.166E-1,2.020E-1,1.940E-2,-3.077E-4,-2.261E0,3.687E0,-6.806E-1,1.433E-1
8.700E8Hz,-9.094E-1,2.031E-1,1.970E-2,-2.622E-4,-2.216E0,3.674E0,-6.793E-1,1.441E-1
8.800E8Hz,-9.145E-1,2.017E-1,1.940E-2,-4.147E-4,-2.181E0,3.703E0,-6.744E-1,1.456E-1
8.900E8Hz,-9.092E-1,2.032E-1,1.960E-2,-3.193E-4,-2.144E0,3.696E0,-6.804E-1,1.493E-1
9.000E8Hz,-9.137E-1,2.148E-1,1.967E-2,-1.046E-3,-2.085E0,3.712E0,-6.746E-1,1.469E-1
9.100E8Hz,-9.064E-1,2.178E-1,1.916E-2,-1.163E-3,-2.042E0,3.724E0,-6.758E-1,1.521E-1
9.200E8Hz,-9.049E-1,2.232E-1,1.949E-2,-5.665E-4,-1.982E0,3.712E0,-6.719E-1,1.499E-1
9.300E8Hz,-9.052E-1,2.207E-1,1.906E-2,-1.184E-3,-1.938E0,3.730E0,-6.725E-1,1.574E-1
9.400E8Hz,-9.035E-1,2.246E-1,1.977E-2,-1.059E-3,-1.902E0,3.725E0,-6.722E-1,1.515E-1
9.500E8Hz,-9.052E-1,2.255E-1,1.967E-2,-1.156E-3,-1.860E0,3.733E0,-6.739E-1,1.554E-1
9.600E8Hz,-9.102E-1,2.309E-1,1.966E-2,-1.249E-3,-1.829E0,3.743E0,-6.715E-1,1.567E-1
9.700E8Hz,-9.044E-1,2.377E-1,1.927E-2,-1.138E-3,-1.761E0,3.735E0,-6.762E-1,1.583E-1
9.800E8Hz,-9.048E-1,2.400E-1,1.971E-2,-1.853E-3,-1.742E0,3.740E0,-6.811E-1,1.588E-1
9.900E8Hz,-9.025E-1,2.401E-1,1.915E-2,-1.420E-3,-1.701E0,3.723E0,-6.765E-1,1.616E-1
1.000E9Hz,-9.009E-1,2.477E-1,2.014E-2,-1.495E-3,-1.658E0,3.715E0,-6.775E-1,1.647E-1
1.010E9Hz,-8.983E-1,2.499E-1,1.945E-2,-1.444E-3,-1.616E0,3.712E0,-6.742E-1,1.679E-1
1.020E9Hz,-9.011E-1,2.549E-1,1.964E-2,-1.599E-3,-1.572E0,3.721E0,-6.724E-1,1.699E-1
1.030E9Hz,-9.015E-1,2.542E-1,1.981E-2,-1.912E-3,-1.533E0,3.704E0,-6.743E-1,1.732E-1
1.040E9Hz,-9.007E-1,2.568E-1,1.985E-2,-1.450E-3,-1.498E0,3.714E0,-6.734E-1,1.670E-1
1.050E9Hz,-9.008E-1,2.592E-1,1.931E-2,-1.815E-3,-1.456E0,3.704E0,-6.721E-1,1.711E-1
1.060E9Hz,-8.951E-1,2.667E-1,1.910E-2,-1.949E-3,-1.398E0,3.696E0,-6.703E-1,1.697E-1
1.070E9Hz,-8.966E-1,2.738E-1,1.930E-2,-1.991E-3,-1.375E0,3.717E0,-6.704E-1,1.697E-1
1.080E9Hz,-8.985E-1,2.757E-1,2.009E-2,-2.104E-3,-1.329E0,3.719E0,-6.726E-1,1.722E-1
1.090E9Hz,-8.893E-1,2.780E-1,1.981E-2,-1.865E-3,-1.272E0,3.697E0,-6.726E-1,1.720E-1
1.100E9Hz,-8.831E-1,2.776E-1,1.936E-2,-2.351E-3,-1.236E0,3.675E0,-6.694E-1,1.774E-1
1.110E9Hz,-8.801E-1,2.831E-1,2.003E-2,-2.628E-3,-1.174E0,3.656E0,-6.708E-1,1.825E-1
1.120E9Hz,-8.925E-1,2.830E-1,1.929E-2,-2.084E-3,-1.162E0,3.671E0,-6.689E-1,1.808E-1
1.130E9Hz,-8.881E-1,2.819E-1,1.946E-2,-2.306E-3,-1.133E0,3.653E0,-6.652E-1,1.827E-1
1.140E9Hz,-8.879E-1,2.900E-1,1.954E-2,-2.522E-3,-1.102E0,3.642E0,-6.662E-1,1.827E-1
1.150E9Hz,-8.846E-1,2.924E-1,1.958E-2,-2.967E-3,-1.061E0,3.628E0,-6.636E-1,1.824E-1
1.160E9Hz,-8.864E-1,2.976E-1,1.967E-2,-2.250E-3,-1.016E0,3.656E0,-6.635E-1,1.845E-1
1.170E9Hz,-8.846E-1,2.991E-1,1.951E-2,-2.698E-3,-9.865E-1,3.637E0,-6.647E-1,1.889E-1
1.180E9Hz,-8.925E-1,3.020E-1,1.952E-2,-2.659E-3,-9.657E-1,3.637E0,-6.680E-1,1.865E-1
1.190E9Hz,-8.867E-1,3.063E-1,1.978E-2,-2.218E-3,-9.109E-1,3.634E0,-6.666E-1,1.917E-1
1.200E9Hz,-8.774E-1,3.033E-1,1.933E-2,-2.593E-3,-8.806E-1,3.593E0,-6.681E-1,1.888E-1
1.210E9Hz,-8.803E-1,3.064E-1,1.946E-2,-3.066E-3,-8.495E-1,3.592E0,-6.646E-1,1.921E-1
1.220E9Hz,-8.829E-1,3.062E-1,1.938E-2,-2.896E-3,-8.274E-1,3.589E0,-6.672E-1,1.939E-1
1.230E9Hz,-8.829E-1,3.157E-1,1.953E-2,-3.231E-3,-7.976E-1,3.580E0,-6.655E-1,1.975E-1
1.240E9Hz,-8.778E-1,3.164E-1,1.959E-2,-2.845E-3,-7.672E-1,3.563E0,-6.673E-1,1.967E-1
1.250E9Hz,-8.840E-1,3.179E-1,1.962E-2,-3.330E-3,-7.422E-1,3.539E0,-6.676E-1,1.981E-1
1.260E9Hz,-8.782E-1,3.235E-1,1.956E-2,-3.068E-3,-6.924E-1,3.533E0,-6.675E-1,1.981E-1
1.270E9Hz,-8.812E-1,3.301E-1,1.948E-2,-2.927E-3,-6.707E-1,3.527E0,-6.634E-1,2.010E-1
1.280E9Hz,-8.764E-1,3.292E-1,1.958E-2,-2.971E-3,-6.416E-1,3.521E0,-6.705E-1,2.004E-1
1.290E9Hz,-8.722E-1,3.325E-1,1.900E-2,-3.368E-3,-6.099E-1,3.520E0,-6.701E-1,2.013E-1
1.300E9Hz,-8.757E-1,3.351E-1,1.953E-2,-3.280E-3,-5.894E-1,3.492E0,-6.663E-1,1.990E-1
1.310E9Hz,-8.711E-1,3.408E-1,1.899E-2,-3.422E-3,-5.138E-1,3.498E0,-6.655E-1,2.027E-1
1.320E9Hz,-8.655E-1,3.407E-1,1.957E-2,-3.041E-3,-4.855E-1,3.474E0,-6.639E-1,2.038E-1
1.330E9Hz,-8.604E-1,3.427E-1,1.905E-2,-3.127E-3,-4.490E-1,3.449E0,-6.664E-1,2.048E-1
1.340E9Hz,-8.609E-1,3.441E-1,1.927E-2,-3.563E-3,-4.221E-1,3.428E0,-6.627E-1,2.069E-1
1.350E9Hz,-8.610E-1,3.470E-1,1.937E-2,-3.608E-3,-4.133E-1,3.408E0,-6.617E-1,2.062E-1
1.360E9Hz,-8.605E-1,3.510E-1,1.936E-2,-3.037E-3,-3.828E-1,3.400E0,-6.609E-1,2.054E-1
1.370E9Hz,-8.634E-1,3.515E-1,1.889E-2,-3.942E-3,-3.741E-1,3.381E0,-6.636E-1,2.071E-1
1.380E9Hz,-8.598E-1,3.630E-1,1.863E-2,-3.747E-3,-3.372E-1,3.375E0,-6.600E-1,2.073E-1
1.390E9Hz,-8.554E-1,3.632E-1,1.939E-2,-3.454E-3,-2.999E-1,3.362E0,-6.624E-1,2.122E-1
1.400E9Hz,-8.471E-1,3.652E-1,1.857E-2,-4.039E-3,-2.754E-1,3.369E0,-6.646E-1,2.143E-1
1.410E9Hz,-8.545E-1,3.683E-1,1.902E-2,-3.831E-3,-2.549E-1,3.361E0,-6.632E-1,2.186E-1
1.420E9Hz,-8.520E-1,3.656E-1,1.927E-2,-4.079E-3,-2.220E-1,3.342E0,-6.629E-1,2.193E-1
1.430E9Hz,-8.512E-1,3.631E-1,1.952E-2,-3.883E-3,-1.939E-1,3.320E0,-6.592E-1,2.203E-1
1.440E9Hz,-8.508E-1,3.609E-1,1.992E-2,-3.902E-3,-1.808E-1,3.298E0,-6.539E-1,2.214E-1
1.450E9Hz,-8.559E-1,3.704E-1,1.916E-2,-4.138E-3,-1.472E-1,3.293E0,-6.579E-1,2.245E-1
1.460E9Hz,-8.606E-1,3.789E-1,1.945E-2,-3.710E-3,-1.372E-1,3.277E0,-6.564E-1,2.228E-1
1.470E9Hz,-8.562E-1,3.805E-1,1.917E-2,-4.084E-3,-1.174E-1,3.268E0,-6.596E-1,2.252E-1
1.480E9Hz,-8.548E-1,3.863E-1,2.011E-2,-4.447E-3,-8.618E-2,3.261E0,-6.629E-1,2.249E-1
1.490E9Hz,-8.490E-1,3.860E-1,1.955E-2,-4.672E-3,-5.310E-2,3.250E0,-6.597E-1,2.306E-1
1.500E9Hz,-8.462E-1,3.921E-1,1.958E-2,-4.521E-3,-3.320E-2,3.237E0,-6.609E-1,2.268E-1
1.510E9Hz,-8.449E-1,3.909E-1,1.932E-2,-4.757E-3,3.541E-3,3.236E0,-6.590E-1,2.318E-1
1.520E9Hz,-8.423E-1,3.955E-1,1.922E-2,-4.302E-3,2.283E-2,3.201E0,-6.560E-1,2.301E-1
1.530E9Hz,-8.467E-1,3.874E-1,1.882E-2,-4.260E-3,3.638E-2,3.181E0,-6.529E-1,2.348E-1
1.540E9Hz,-8.362E-1,3.917E-1,1.908E-2,-4.918E-3,8.716E-2,3.163E0,-6.523E-1,2.351E-1
1.550E9Hz,-8.359E-1,3.980E-1,1.966E-2,-5.042E-3,9.253E-2,3.131E0,-6.510E-1,2.377E-1
1.560E9Hz,-8.378E-1,3.981E-1,1.917E-2,-4.559E-3,1.086E-1,3.122E0,-6.502E-1,2.347E-1
1.570E9Hz,-8.429E-1,4.023E-1,1.932E-2,-5.172E-3,1.234E-1,3.126E0,-6.512E-1,2.382E-1
1.580E9Hz,-8.348E-1,4.018E-1,1.947E-2,-4.980E-3,1.304E-1,3.101E0,-6.516E-1,2.345E-1
